DATOS_CONSULTA;RUT=77575300-5;TIPO_CONSULTA=DEUDOR;DESDE_DDMMAAAA=01072026;HASTA_DDMMAAAA=31072026 23:59:59
VENDEDOR;ESTADO_CESION;DEUDOR;MAIL_DEUDOR;TIPO_DOC;NOMBRE_DOC;FOLIO_DOC;FCH_EMIS_DTE;MNT_TOTAL;CEDENTE;RZ_CEDENTE;MAIL_CEDENTE;CESIONARIO;RZ_CESIONARIO;MAIL_CESIONARIO;FCH_CESION;MNT_CESION;FCH_VENCIMIENTO;ID_CESION
76856463-9;Cesion Vigente;77575300-5;;33;Factura Electronica;64240;2026-06-30;567487;76856463-9;COMERCIAL KUPPEL SPA;bmeza@kuppel.cl;99580240-6;ACF CAPITAL S A ;factura@acfcapital.cl;2026-07-01T11:41:26;567487;2026-06-30;52009291
76856463-9;Cesion Vigente;77575300-5;;33;Factura Electronica;64236;2026-06-30;750652;76856463-9;COMERCIAL KUPPEL SPA;bmeza@kuppel.cl;99580240-6;ACF CAPITAL S A ;factura@acfcapital.cl;2026-07-01T11:41:26;750652;2026-06-30;52009280
76856463-9;Cesion Vigente;77575300-5;;33;Factura Electronica;64237;2026-06-30;595119;76856463-9;COMERCIAL KUPPEL SPA;bmeza@kuppel.cl;99580240-6;ACF CAPITAL S A ;factura@acfcapital.cl;2026-07-01T11:41:27;595119;2026-06-30;52009298
77859490-0;Cesion Vigente;77575300-5;fzamorano@banpro.cl;33;Factura Electronica;241787;2026-07-01;1834523;77859490-0;NOVOPLAST SPA;operaciones@abstrahere.com;76163106-3;Banpro;fzamorano@banpro.cl;2026-07-02T12:10:13;1834523;2026-08-10;52032772
76519713-9;Cesion Vigente;77575300-5;JMONTECINOS@GMAIL.COM;33;Factura Electronica;3121;2026-07-02;47600;76519713-9;AM DECO SPA;AMDECOSPA@GMAIL.COM;76682670-9;SERVICIOS FINANCIEROS GEROS LIMITADA;AMDECOSPA@GMAIL.COM;2026-07-02T13:43:13;47600;2026-08-16;52036080
76519713-9;Cesion Vigente;77575300-5;JMONTECINOS@GMAIL.COM;33;Factura Electronica;3122;2026-07-02;190400;76519713-9;AM DECO SPA;AMDECOSPA@GMAIL.COM;76682670-9;SERVICIOS FINANCIEROS GEROS LIMITADA;AMDECOSPA@GMAIL.COM;2026-07-02T13:43:26;190400;2026-08-16;52036085
76519713-9;Cesion Vigente;77575300-5;JMONTECINOS@GMAIL.COM;33;Factura Electronica;3123;2026-07-02;1449420;76519713-9;AM DECO SPA;AMDECOSPA@GMAIL.COM;76682670-9;SERVICIOS FINANCIEROS GEROS LIMITADA;AMDECOSPA@GMAIL.COM;2026-07-02T13:43:39;1449420;2026-08-16;52036087
76519713-9;Cesion Vigente;77575300-5;JMONTECINOS@GMAIL.COM;33;Factura Electronica;3124;2026-07-02;2204525;76519713-9;AM DECO SPA;AMDECOSPA@GMAIL.COM;76682670-9;SERVICIOS FINANCIEROS GEROS LIMITADA;AMDECOSPA@GMAIL.COM;2026-07-02T13:43:56;2204525;2026-08-16;52036102
76376142-8;Cesion Vigente;77575300-5;JMONTECINOS@GMAIL.COM;33;Factura Electronica;2580;2026-07-02;1892029;76376142-8;ACTYON SPA;ACTYONSPA@GMAIL.COM;76682670-9;SERVICIO FINANCIEROS GEROS LTDA;FCONTRERAS@GEROSLTDA.CL;2026-07-02T13:48:44;1892029;2026-08-01;52036253
76376142-8;Cesion Vigente;77575300-5;jmontecinos@eltit.cl;33;Factura Electronica;2581;2026-07-03;3513718;76376142-8;ACTYON SPA;ACTYONSPA@GMAIL.COM;76682670-9;SERVICIO FINANCIEROS GEROS LTDA;FCONTRERAS@GEROSLTDA.CL;2026-07-03T10:14:25;3513718;2026-08-02;52049922
